Model Name,Provider,Dataset,SciCode,GPQA Diamond,Humanity's Last Exam
Phi-4,Microsoft Azure,Microsoft Azure training dataset,26.00%,57.50%,4.10%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,10.80%,33.10%,4.20%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,11.00%,31.50%,4.40%
Pixtral 12B (2409),Mistral,Mistral training dataset,13.50%,34.30%,5.30%
Pixtral Large,Mistral,Mistral training dataset,29.20%,50.50%,3.60%
QwQ 32B,Alibaba,Alibaba training dataset,35.80%,59.30%,8.20%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,27.10%,41.70%,3.80%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,14.80%,33.90%,4.80%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,22.90%,46.60%,3.80%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,26.70%,49.10%,4.20%
Qwen2.5 Max,Alibaba,Alibaba training dataset,33.70%,58.70%,4.50%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,15.30%,41.00%,4.20%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,4.10%,23.10%,5.20%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,2.80%,23.90%,5.70%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,6.90%,28.30%,5.20%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,4.30%,35.60%,4.80%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,26.50%,47.00%,4.20%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,31.60%,60.40%,4.30%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,29.90%,61.30%,4.70%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,39.90%,70.00%,11.70%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,42.40%,79.00%,15.00%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,36.00%,75.30%,10.60%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,26.40%,51.50%,4.60%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,28.50%,61.60%,6.60%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,33.30%,70.70%,9.80%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,30.40%,65.90%,6.80%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,28.00%,53.50%,4.30%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,35.40%,66.80%,8.30%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,16.70%,39.80%,3.70%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,3.50%,52.20%,5.10%
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,25.60%,66.70%,5.90%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,18.10%,51.70%,4.70%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,16.80%,45.20%,2.80%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,22.60%,58.90%,4.20%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,27.80%,51.60%,4.00%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,35.90%,61.80%,4.40%
Qwen3 Max,Alibaba,Alibaba training dataset,38.30%,76.40%,11.10%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,38.70%,77.60%,12.00%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,38.80%,75.90%,11.70%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,30.70%,73.80%,7.30%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,30.60%,72.60%,7.30%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,18.60%,62.00%,5.10%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,39.90%,77.20%,10.10%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,35.90%,71.20%,6.30%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,28.80%,72.00%,8.70%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,30.80%,69.50%,6.40%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,28.50%,73.30%,9.60%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,30.10%,67.10%,6.30%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,17.10%,49.40%,4.40%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,13.70%,37.10%,3.70%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,21.90%,57.90%,3.30%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,17.40%,42.70%,2.90%
R1 1776,Perplexity,Perplexity training dataset,N/A,N/A,N/A
Reka Flash 3,Reka AI,Reka AI training dataset,26.70%,52.90%,5.10%
Ring-1T,InclusionAI,InclusionAI training dataset,36.70%,59.50%,10.20%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,16.80%,72.50%,8.90%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,36.50%,72.60%,9.10%
Solar Mini,Upstage,Upstage training dataset,N/A,N/A,N/A
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,24.80%,56.10%,3.80%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,30.20%,68.70%,7.00%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,38.90%,78.20%,18.50%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,36.00%,67.20%,5.20%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,34.40%,68.80%,9.80%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,34.00%,61.10%,5.10%
