Model Name,Provider,Dataset,LiveCodeBench,IFBench,Terminal-Bench Hard,Coding Index
DeepSeek V3.1 (Reasoning),DeepSeek,DeepSeek training dataset,78.40%,41.50%,24.10%,47.20%
DeepSeek V3.1 Terminus (Non-reasoning),DeepSeek,DeepSeek training dataset,52.90%,41.20%,29.80%,38.30%
DeepSeek V3.1 Terminus (Reasoning),DeepSeek,DeepSeek training dataset,79.80%,57.00%,28.40%,49.60%
DeepSeek V3.2 Exp (Non-reasoning),DeepSeek,DeepSeek training dataset,55.40%,43.10%,23.40%,39.60%
DeepSeek V3.2 Exp (Reasoning),DeepSeek,DeepSeek training dataset,78.90%,54.10%,29.10%,48.60%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,N/A,N/A,N/A,N/A
Devstral Small (Jul '25),Mistral,Mistral training dataset,25.40%,34.60%,5.70%,18.50%
Devstral Small (May '25),Mistral,Mistral training dataset,25.80%,N/A,N/A,N/A
Doubao Seed Code,ByteDance Seed,ByteDance Seed training dataset,76.60%,51.40%,24.80%,47.40%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,46.70%,39.10%,5.70%,27.90%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,47.20%,33.50%,1.40%,24.60%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,74.70%,36.30%,3.50%,37.50%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,29.30%,25.30%,0.00%,12.20%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,51.60%,23.00%,0.00%,20.30%
GLM-4.5 (Reasoning),Z AI,Z AI training dataset,73.80%,44.10%,21.30%,43.30%
GLM-4.5-Air,Z AI,Z AI training dataset,68.40%,37.60%,19.10%,39.40%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,35.20%,28.60%,6.40%,20.10%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,60.40%,34.20%,5.00%,29.20%
GLM-4.6 (Non-reasoning),Z AI,Z AI training dataset,56.10%,36.70%,27.00%,38.70%
GLM-4.6 (Reasoning),Z AI,Z AI training dataset,69.50%,43.40%,23.40%,43.80%
Gemma 2 27B,Google,Google training dataset,27.90%,N/A,N/A,N/A
Gemma 2 9B,Google,Google training dataset,12.60%,N/A,N/A,N/A
Gemma 3 12B Instruct,Google,Google training dataset,13.70%,36.70%,0.70%,10.60%
Gemma 3 1B Instruct,Google,Google training dataset,1.70%,19.90%,0.00%,80.00%
Gemma 3 270M,Google,Google training dataset,0.30%,12.10%,0.00%,10.00%
Gemma 3 27B Instruct,Google,Google training dataset,13.70%,31.80%,3.50%,12.80%
Gemma 3 4B Instruct,Google,Google training dataset,11.20%,28.30%,0.70%,6.40%
Gemma 3n E2B Instruct,Google,Google training dataset,9.50%,22.00%,0.70%,5.20%
Gemma 3n E4B Instruct,Google,Google training dataset,14.60%,27.90%,2.10%,8.30%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,12.70%,22.40%,0.00%,7.60%
Granite 4.0 1B,IBM,IBM training dataset,4.70%,20.50%,0.00%,4.50%
Granite 4.0 350M,IBM,IBM training dataset,2.40%,15.90%,0.00%,1.10%
Granite 4.0 H 1B,IBM,IBM training dataset,11.50%,26.20%,0.00%,6.60%
Granite 4.0 H 350M,IBM,IBM training dataset,1.90%,17.60%,0.00%,1.20%
Granite 4.0 H Small,IBM,IBM training dataset,25.10%,31.50%,2.10%,16.10%
Granite 4.0 Micro,IBM,IBM training dataset,18.00%,24.80%,1.40%,10.40%
Grok 2 (Dec '24),xAI,xAI training dataset,26.70%,N/A,N/A,N/A
Grok-1,xAI,xAI training dataset,N/A,N/A,N/A,N/A
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,18.80%,N/A,N/A,N/A
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,54.60%,34.80%,9.20%,32.80%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,68.60%,32.70%,10.60%,34.80%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,26.90%,29.00%,0.00%,18.20%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,65.30%,31.30%,4.30%,34.60%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,17.20%,N/A,N/A,N/A
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,7.10%,N/A,N/A,N/A
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,18.10%,35.20%,2.10%,13.00%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,6.10%,31.40%,0.00%,5.10%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,21.00%,52.40%,0.70%,9.20%
Kimi K2,Moonshot AI,Moonshot AI training dataset,55.60%,41.50%,14.90%,35.00%
Kimi K2 0905,Moonshot AI,Moonshot AI training dataset,61.00%,41.70%,22.70%,38.10%
Kimi K2 Thinking,Moonshot AI,Moonshot AI training dataset,85.30%,68.10%,29.10%,52.20%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,37.80%,28.10%,10.60%,22.80%
LFM 40B,Liquid AI,Liquid AI training dataset,9.60%,N/A,N/A,N/A
LFM2 1.2B,Liquid AI,Liquid AI training dataset,2.00%,22.00%,0.00%,1.50%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,8.10%,19.50%,0.70%,3.80%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,15.10%,26.30%,0.00%,7.30%
Ling-1T,InclusionAI,InclusionAI training dataset,67.70%,34.80%,9.90%,37.60%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,58.90%,34.40%,9.90%,32.60%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,42.90%,23.60%,0.70%,19.00%
Llama 2 Chat 13B,Meta,Meta training dataset,9.80%,N/A,N/A,N/A
Llama 2 Chat 70B,Meta,Meta training dataset,9.80%,N/A,N/A,N/A
Llama 2 Chat 7B,Meta,Meta training dataset,0.20%,N/A,N/A,N/A
Llama 3 Instruct 70B,Meta,Meta training dataset,19.80%,N/A,N/A,N/A
Llama 3 Instruct 8B,Meta,Meta training dataset,9.60%,N/A,N/A,N/A
Llama 3.1 Instruct 405B,Meta,Meta training dataset,30.50%,39.00%,6.40%,22.20%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,23.20%,34.40%,2.80%,17.60%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,11.60%,28.60%,0.70%,8.50%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,16.90%,30.70%,4.30%,14.80%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,49.30%,25.50%,N/A,N/A
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,64.10%,38.20%,2.10%,33.70%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,29.10%,N/A,N/A,N/A
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,11.00%,30.40%,0.70%,7.70%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,1.90%,22.80%,0.00%,1.20%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,8.30%,26.20%,N/A,N/A
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,21.40%,N/A,N/A,N/A
Llama 3.3 Instruct 70B,Meta,Meta training dataset,28.80%,47.10%,2.80%,19.20%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,28.00%,39.50%,0.00%,17.00%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,27.70%,38.10%,0.00%,18.70%
Llama 4 Maverick,Meta,Meta training dataset,39.70%,43.00%,6.40%,26.40%
Llama 4 Scout,Meta,Meta training dataset,29.90%,39.50%,1.40%,16.10%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,29.00%,32.90%,3.50%,18.80%
Llama Nemotron Super 49B v1.5 (Reasoning),NVIDIA,NVIDIA training dataset,73.70%,37.00%,5.00%,37.80%
Magistral Medium 1.2,Mistral,Mistral training dataset,75.00%,43.00%,12.80%,42.30%
Magistral Small 1.2,Mistral,Mistral training dataset,72.30%,44.40%,4.30%,37.20%
MiniMax M1 40k,MiniMax,MiniMax training dataset,65.70%,41.20%,2.10%,35.20%
MiniMax M1 80k,MiniMax,MiniMax training dataset,71.10%,41.80%,2.80%,37.10%
MiniMax-M2,MiniMax,MiniMax training dataset,82.60%,72.30%,24.10%,47.60%
MiniMax-Text-01,MiniMax,MiniMax training dataset,24.70%,32.70%,2.10%,17.30%
Ministral 8B,Mistral,Mistral training dataset,11.20%,19.30%,0.00%,7.60%
Mistral 7B Instruct,Mistral,Mistral training dataset,4.60%,N/A,N/A,N/A
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,26.70%,31.60%,N/A,N/A
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,29.30%,31.20%,5.70%,21.40%
Mistral Medium 3.1,Mistral,Mistral training dataset,40.60%,39.80%,9.90%,28.10%
Mistral NeMo,Mistral,Mistral training dataset,5.70%,N/A,N/A,N/A
Mistral Small (Sep '24),Mistral,Mistral training dataset,14.10%,N/A,N/A,N/A
Mistral Small 3,Mistral,Mistral training dataset,25.20%,26.40%,N/A,N/A
Mistral Small 3.1,Mistral,Mistral training dataset,21.20%,29.90%,N/A,N/A
Mistral Small 3.2,Mistral,Mistral training dataset,27.50%,33.50%,6.40%,20.10%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,14.80%,N/A,N/A,N/A
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,6.60%,N/A,N/A,N/A
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,3.90%,19.70%,0.00%,2.50%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,70.10%,27.10%,0.70%,30.60%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,72.40%,27.60%,1.40%,31.90%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,6.80%,38.10%,0.00%,4.90%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,4.10%,24.40%,0.00%,2.60%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,11.50%,N/A,N/A,N/A
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,15.00%,21.50%,0.00%,8.90%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,11.60%,23.90%,0.00%,6.90%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,23.10%,23.50%,3.50%,17.60%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,12.60%,21.10%,0.00%,7.80%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,13.10%,N/A,N/A,N/A
Pixtral 12B (2409),Mistral,Mistral training dataset,11.50%,N/A,N/A,N/A
Pixtral Large,Mistral,Mistral training dataset,26.10%,34.50%,N/A,N/A
QwQ 32B,Alibaba,Alibaba training dataset,63.10%,38.80%,N/A,N/A
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,29.50%,N/A,N/A,N/A
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,12.60%,N/A,N/A,N/A
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,24.80%,N/A,N/A,N/A
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,27.60%,36.90%,4.30%,19.50%
Qwen2.5 Max,Alibaba,Alibaba training dataset,35.90%,N/A,N/A,N/A
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,16.30%,N/A,N/A,N/A
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,7.30%,21.90%,0.00%,3.80%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,12.10%,23.30%,0.00%,5.00%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,12.60%,21.10%,0.00%,6.50%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,30.80%,26.90%,0.00%,11.70%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,28.00%,23.90%,5.00%,19.80%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,52.30%,40.50%,3.50%,29.10%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,34.30%,36.60%,5.70%,23.30%
Qwen3 235B A22B (Reasoning),Alibaba,Alibaba training dataset,62.20%,38.70%,5.70%,35.90%
Qwen3 235B A22B 2507 (Reasoning),Alibaba,Alibaba training dataset,78.80%,51.20%,12.80%,44.60%
Qwen3 235B A22B 2507 Instruct,Alibaba,Alibaba training dataset,52.40%,46.10%,14.20%,34.20%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,32.20%,31.90%,6.40%,21.60%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,50.60%,41.50%,2.10%,27.10%
Qwen3 30B A3B 2507 (Reasoning),Alibaba,Alibaba training dataset,70.70%,50.70%,5.00%,36.30%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,51.50%,33.10%,5.70%,29.20%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,28.80%,31.50%,N/A,N/A
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,54.60%,36.30%,2.80%,30.90%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,23.30%,N/A,N/A,N/A
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,46.50%,32.50%,N/A,N/A
Qwen3 4B 2507 (Reasoning),Alibaba,Alibaba training dataset,64.10%,49.80%,1.40%,30.40%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,37.70%,33.50%,4.30%,20.00%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,20.20%,28.60%,2.10%,13.00%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,40.60%,33.50%,2.10%,21.80%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,40.30%,32.70%,14.20%,27.40%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,58.50%,40.50%,17.70%,37.40%
Qwen3 Max,Alibaba,Alibaba training dataset,76.70%,44.10%,19.10%,44.70%
Qwen3 Max Thinking,Alibaba,Alibaba training dataset,53.50%,53.80%,16.30%,36.20%
Qwen3 Next 80B A3B (Reasoning),Alibaba,Alibaba training dataset,78.40%,60.70%,9.20%,42.10%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,68.40%,39.70%,7.10%,35.40%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,67.90%,43.40%,3.50%,34.00%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,42.20%,31.20%,1.40%,20.80%
Qwen3 VL 235B A22B (Reasoning),Alibaba,Alibaba training dataset,64.60%,56.50%,10.60%,38.40%
Qwen3 VL 235B A22B Instruct,Alibaba,Alibaba training dataset,59.40%,42.70%,6.40%,33.90%
Qwen3 VL 30B A3B (Reasoning),Alibaba,Alibaba training dataset,69.70%,45.10%,5.00%,34.50%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,47.60%,33.10%,5.70%,28.00%
Qwen3 VL 32B (Reasoning),Alibaba,Alibaba training dataset,73.80%,59.40%,7.10%,36.40%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,51.40%,39.20%,7.80%,29.80%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,32.00%,36.60%,1.40%,16.80%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,29.00%,31.80%,0.00%,14.20%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,35.30%,39.90%,3.50%,20.30%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,33.20%,32.30%,2.10%,17.60%
R1 1776,Perplexity,Perplexity training dataset,N/A,N/A,N/A,N/A
Reka Flash 3,Reka AI,Reka AI training dataset,43.50%,30.40%,0.00%,23.40%
Ring-1T,InclusionAI,InclusionAI training dataset,64.30%,44.60%,6.40%,35.80%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,62.80%,43.30%,7.10%,28.90%
Seed-OSS-36B-Instruct,ByteDance Seed,ByteDance Seed training dataset,76.50%,41.90%,6.40%,39.80%
Solar Mini,Upstage,Upstage training dataset,N/A,N/A,N/A,N/A
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,42.40%,33.70%,4.30%,23.80%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,61.60%,37.10%,2.80%,31.50%
gpt-oss-120B (high),OpenAI,OpenAI training dataset,87.80%,69.00%,22.00%,49.60%
gpt-oss-120B (low),OpenAI,OpenAI training dataset,70.70%,58.30%,5.00%,37.20%
gpt-oss-20B (high),OpenAI,OpenAI training dataset,77.70%,65.10%,9.90%,40.70%
gpt-oss-20B (low),OpenAI,OpenAI training dataset,65.20%,57.80%,4.30%,34.50%
